Date,Dividends,Company
08/18/1998,0.61,Chevron Corporation (CVX)
02/13/2002,0.7,Chevron Corporation (CVX)
05/05/1964,0.03125,Chevron Corporation (CVX)
08/03/1993,0.8752,Chevron Corporation (CVX)
08/04/1972,0.04531,Chevron Corporation (CVX)
08/17/2015,1.07,Chevron Corporation (CVX)
08/17/2011,0.78,Chevron Corporation (CVX)
02/04/1972,0.04531,Chevron Corporation (CVX)
11/18/1997,0.58,Chevron Corporation (CVX)
05/18/1999,0.61,Chevron Corporation (CVX)
11/14/2001,0.7,Chevron Corporation (CVX)
11/03/1992,0.8252,Chevron Corporation (CVX)
05/04/1973,0.04688,Chevron Corporation (CVX)
11/16/2015,1.07,Chevron Corporation (CVX)
08/15/2001,0.65,Chevron Corporation (CVX)
02/12/2003,0.7,Chevron Corporation (CVX)
05/07/1963,0.03125,Chevron Corporation (CVX)
05/16/1997,0.58,Chevron Corporation (CVX)
08/04/1992,0.8252,Chevron Corporation (CVX)
11/16/2011,0.81,Chevron Corporation (CVX)
05/15/2014,1.07,Chevron Corporation (CVX)
02/12/2015,1.07,Chevron Corporation (CVX)
05/15/2002,0.7,Chevron Corporation (CVX)
05/04/1993,0.8752,Chevron Corporation (CVX)
11/03/1972,0.04531,Chevron Corporation (CVX)
05/07/1962,0.02976,Chevron Corporation (CVX)
11/14/2012,0.9,Chevron Corporation (CVX)
05/15/2013,1,Chevron Corporation (CVX)
02/15/2012,0.81,Chevron Corporation (CVX)
05/15/2009,0.65,Chevron Corporation (CVX)
11/02/1973,0.02656,Chevron Corporation (CVX)
05/16/2012,0.9,Chevron Corporation (CVX)
08/15/2012,0.9,Chevron Corporation (CVX)
02/13/2013,0.9,Chevron Corporation (CVX)
11/14/2008,0.65,Chevron Corporation (CVX)
02/08/1971,0.04375,Chevron Corporation (CVX)
08/15/2008,0.65,Chevron Corporation (CVX)
11/01/1974,0.0625,Chevron Corporation (CVX)
02/18/1998,0.61,Chevron Corporation (CVX)
08/05/1964,0.03125,Chevron Corporation (CVX)
02/05/1964,0.03125,Chevron Corporation (CVX)
08/16/2019,1.19,Chevron Corporation (CVX)
02/14/2006,0.45,Chevron Corporation (CVX)
05/05/1969,0.04375,Chevron Corporation (CVX)
05/15/2003,0.7,Chevron Corporation (CVX)
02/12/2010,0.68,Chevron Corporation (CVX)
11/04/1971,0.04375,Chevron Corporation (CVX)
02/17/1999,0.61,Chevron Corporation (CVX)
02/16/2016,1.07,Chevron Corporation (CVX)
05/10/1976,0.06875,Chevron Corporation (CVX)
08/07/1963,0.03125,Chevron Corporation (CVX)
02/14/2020,1.29,Chevron Corporation (CVX)
08/17/2010,0.72,Chevron Corporation (CVX)
08/15/2014,1.07,Chevron Corporation (CVX)
05/18/1998,0.61,Chevron Corporation (CVX)
02/04/1994,0.9252,Chevron Corporation (CVX)
05/06/1968,0.04219,Chevron Corporation (CVX)
11/14/2002,0.7,Chevron Corporation (CVX)
05/04/1972,0.04531,Chevron Corporation (CVX)
02/16/2000,0.65,Chevron Corporation (CVX)
08/16/2000,0.65,Chevron Corporation (CVX)
02/04/1970,0.04375,Chevron Corporation (CVX)
02/05/1991,0.7752,Chevron Corporation (CVX)
08/06/1991,0.8252,Chevron Corporation (CVX)
11/05/1965,0.03906,Chevron Corporation (CVX)
02/14/2017,1.08,Chevron Corporation (CVX)
08/04/1987,0.6,Chevron Corporation (CVX)
11/03/1969,0.04375,Chevron Corporation (CVX)
08/17/2005,0.45,Chevron Corporation (CVX)
08/18/1999,0.61,Chevron Corporation (CVX)
02/14/2001,0.65,Chevron Corporation (CVX)
11/16/2017,1.08,Chevron Corporation (CVX)
02/04/1992,0.8252,Chevron Corporation (CVX)
11/04/1966,0.03906,Chevron Corporation (CVX)
11/07/1975,0.0625,Chevron Corporation (CVX)
11/16/2009,0.68,Chevron Corporation (CVX)
05/11/1995,0.4626,Chevron Corporation (CVX)
11/14/2013,1,Chevron Corporation (CVX)
02/02/1988,0.6,Chevron Corporation (CVX)
05/17/2004,0.73,Chevron Corporation (CVX)
05/06/1974,0.0625,Chevron Corporation (CVX)
01/31/1962,0.02976,Chevron Corporation (CVX)
05/15/2008,0.65,Chevron Corporation (CVX)
02/06/1968,0.04219,Chevron Corporation (CVX)
08/06/1968,0.04219,Chevron Corporation (CVX)
11/05/1984,0.6,Chevron Corporation (CVX)
05/06/1985,0.6,Chevron Corporation (CVX)
11/01/1988,0.65,Chevron Corporation (CVX)
05/02/1989,0.7,Chevron Corporation (CVX)
11/15/2018,1.12,Chevron Corporation (CVX)
05/16/2019,1.19,Chevron Corporation (CVX)
11/03/1967,0.03906,Chevron Corporation (CVX)
11/05/1976,0.06875,Chevron Corporation (CVX)
02/04/1985,0.6,Chevron Corporation (CVX)
08/05/1985,0.6,Chevron Corporation (CVX)
01/31/1989,0.7,Chevron Corporation (CVX)
08/01/1989,0.7,Chevron Corporation (CVX)
02/14/2019,1.19,Chevron Corporation (CVX)
02/06/1976,0.0625,Chevron Corporation (CVX)
05/05/1994,0.9252,Chevron Corporation (CVX)
11/16/2005,0.45,Chevron Corporation (CVX)
